51300018132,ddb,145,64
51300061088,cbf,50,246
51300100717,aec,94,248
51300102471,fcd,188,226
51300119917,dca,252,207
51300169065,bcc,203,60
51300170526,dbf,17,108
51300184042,gcc,18,143
51300220457,cab,192,233
51300224509,edg,22,202
51300225436,ecg,60,298
51300230458,abd,240,29
51300233131,aff,3,192
51300280601,cfb,248,117
51300380870,egb,174,127
51300448546,dba,55,130
51300481029,ggg,6,250
51300509261,bfb,49,252
51300510095,agd,73,201
51300521591,dae,232,247
51300547116,daa,32,127
51300632217,bgc,163,112
51300636085,cbg,53,205
51300642191,ccd,71,32
51300699311,bcd,64,40
51300710274,bec,2,293
51300725325,geb,281,262
51300733726,aeb,46,137
51300774781,ffc,181,255
51300815166,fcc,2,195
51300822995,bdb,15,31
51300823767,bfa,126,66
51300825181,gcd,4,193
51300834396,aag,123,13
51300837665,dbf,198,96
51300865589,fee,245,161
51300875855,cbe,109,277
51300879948,ffc,288,270
51300882921,bcb,13,175
51300883267,acf,284,184
51300892359,fbd,246,281
51300903550,bfe,102,168
51300935771,fbc,240,186
51300936635,afd,264,138
51300983032,gef,290,34
51301123827,acg,55,241
51301140844,cdf,69,265
51301151093,afa,147,18
51301177208,age,143,261
51301237979,fde,25,213
51301262327,fdf,221,23
51301281749,efe,15,183
51301288087,fbg,1,267
51301301394,cef,268,296
51301356675,abc,210,133
51301368735,ggc,18,108
51301388672,ead,11,45
51301408787,bfa,149,70
51301413554,ccd,182,25
51301427066,gbe,208,193
51301452774,fcd,120,205
51301479737,gfd,54,241
51301503077,dec,264,31
51301538480,dfg,140,147
51301542290,dcc,218,127
51301562972,efg,36,175
51301577421,bbf,244,268
51301587768,acb,271,83
51301634506,cef,197,322
51301655849,eec,79,103
51301672089,bbg,72,28
51301674338,deb,99,51
51301694786,dag,223,183
51301709683,afa,213,15
51301737373,dbf,119,102
51301753323,afa,171,12
51301764865,ced,194,84
51301778703,gcg,222,120
51301794172,cff,74,35
51301814699,bcf,282,266
51301818508,dea,67,244
51301932095,feb,62,268
51301975013,cbb,254,236
51301976405,fge,290,150
51301988396,ddg,231,161
51302013291,cad,235,199
51302016777,bgd,30,199
51302040439,bbf,3,316
51302041469,ggc,148,118
51302103399,dab,244,209
51302129041,acc,215,194
51302134257,cfa,210,102
51302137270,dbd,246,88
51302181852,egg,202,228
51302200060,bfb,240,216
51302227331,ceb,17,126
51302235099,ede,212,192
51302278886,dab,265,175
51302283537,cgg,131,80
51302300787,gaa,241,143
51302301713,gbc,246,215
51302354179,dga,97,241
51302375315,bgf,288,244
51302380394,efb,15,19
51302390957,abc,216,121
51302392182,aae,186,71
51302414688,bac,244,254
